user_id,first_name,last_name,email,password_hash,active_status,date_created,hire_date,user_type
1,John,Walker,user1@example.com,$2b$12$o8fh8iIhvv7rMPvPPeWWgeFTAUsmqvyZE1hXLmw3yLBHqXAAZFhLy,0,2020-10-14,2022-10-05,user
2,Steve,Lee,user2@example.com,$2b$12$x7HvPfvssXCMK.gODjefSu6.Uwu27CGS7epMDgZoFLYf/StbG4rly,1,2022-05-08,2020-08-17,user
3,Zack,Lee,user3@example.com,$2b$12$xP9yxy8JNU9nr3TvYG2nvual4L/njwBECXBBQLzFIFjZEUbjaRZ8G,0,2020-07-08,2020-12-01,user
4,Hannah,King,user4@example.com,$2b$12$21u9h4wBCoSeQDbNpDSAhOYFWsqS7ZxOWN0weFYeUD71XJdvsv6Fy,1,2021-12-24,2020-08-29,user
5,Alice,Harris,user5@example.com,$2b$12$0.325.ztV7rDd3luvkqRBuQw0qNIeR3LhTutbAMfjt3Zi485XI3nu,1,2022-06-15,2021-01-19,user
6,Hannah,Ramirez,user6@example.com,$2b$12$6JJtJtIo6xi7AsOHGV4/PO8wgGvWnSgvaOo4NwjhwQ5IgoVPaF73G,1,2021-01-25,2022-01-22,user
7,Yara,Hill,user7@example.com,$2b$12$KJIJg/bG.UBCWQxP5S3UzOEPvMlYOEMDfuWE7.sh7IkMvxscwdE7K,1,2022-04-26,2020-01-30,user
8,John,Flores,user8@example.com,$2b$12$OlT7uvaw90Ujgoz93l5CKOhASb3F..zSLrjYIxQ09OdtOA0SmgGWy,1,2020-09-03,2021-09-21,user
9,Wendy,Allen,user9@example.com,$2b$12$hE3QQKQNZRsmnVseTvZ.A.k6FGUD0vBF2eEwiqbjg.vSEgLTSGtdK,1,2022-01-14,2022-07-08,user
10,Alice,Moore,user10@example.com,$2b$12$n97ZpRKHyrcVqAP57LDJLOCEMx9OA0Je5IvhV0TJkGbP0.p9NukkW,1,2022-03-01,2022-09-29,manager
11,Wendy,Allen,user11@example.com,$2b$12$COPJLNKsEPpjpytHi598mO75XHZMT/HjsOllqCOSHONK5n5V0CWHC,1,2022-09-15,2020-06-04,user
12,Ian,Wilson,user12@example.com,$2b$12$MLE4Rezltc66QIrXYEtYSeGrPcy7kTQFz4ClYt6EZfTUDiH.kKQ/G,0,2020-09-12,2021-09-09,user
13,Wendy,Scott,user13@example.com,$2b$12$bglHg.elQdIeZ2bIQBkri.duyz0ZyxzLPA8oL6SDAvQlIsKlQQRAy,0,2022-12-30,2022-12-20,user
14,Mike,Hill,user14@example.com,$2b$12$csxkIrER3JbPIor3Sjfv3OFiKAWIe1bZ0C3eRgvgQQawRi6hHG7.S,1,2020-10-18,2021-06-21,user
15,Nancy,Clark,user15@example.com,$2b$12$Y6SwNOOCcsSe4dUPRt872.MSE1/4M/dh0YRDS76iAcMd4D3YjB3pq,0,2020-07-04,2020-09-23,user
16,Jane,Sanchez,user16@example.com,$2b$12$0f60hfbujKN5zrFUqSeSpupzX/gJ7MVYCPOcPCt9N1bOyRDyyiLHu,0,2022-11-07,2020-10-13,user
17,Diana,White,user17@example.com,$2b$12$eZDchJt8/1F3/l3AZ02rc.9FNbV1v/ARzFNsTdi4NBymLytlqqo1.,1,2020-03-26,2020-08-01,user
18,George,Jackson,user18@example.com,$2b$12$4JQtVFJ8ZPWw.tJRRO0oweiqpaYkXTyi7pr6xgKa7k0Ir7.J/JGNm,0,2022-08-10,2021-03-24,user
19,Oscar,Young,user19@example.com,$2b$12$pDKJz/cZijo9pBuQjIH3kO029nSQnqtf/ILBsjsRqzWg58c8CWdN6,1,2020-09-14,2022-01-30,user
20,Uma,Lee,user20@example.com,$2b$12$V3LMJWsQE57IvrcoZjiN1.3a7UvJgypyOo2l4Cz0c958DvrzQIXQG,1,2020-12-28,2020-09-10,manager
21,Ethan,Smith,user21@example.com,$2b$12$KnVsHJk7baoDQND.TPAV6OI18tB0Qt1teQtZmnMoAoiKD2Z/JxweC,0,2022-03-21,2022-05-19,user
22,Fiona,Wright,user22@example.com,$2b$12$JEXeOZmvPmHvQhjT6fozDuxR/mDWu3Ud5duPSIxnMfmtVdBBxmife,1,2022-12-22,2020-01-23,user
23,Diana,Robinson,user23@example.com,$2b$12$YeCqQYqNEYigLY0SqxroIu/Ij9ePINBfZxWEBtaWMRXNi5o2vJqES,1,2020-05-29,2022-12-27,user
24,Rachel,Robinson,user24@example.com,$2b$12$a48wNfR4O7cok7GWOgM1MuZPIPKlpPRHFEvBM/ZQNokkvjOT6pQoC,1,2021-09-13,2020-08-06,user
25,Yara,Scott,user25@example.com,$2b$12$2wnRD/SY71udAI.Modsn2ONNnbkFSrhX.700FosNo92D2568AmwZm,1,2022-06-24,2021-05-26,user
26,John,Miller,user26@example.com,$2b$12$AWbcbqairiFviAzRNR6hQ.m3Ev.8xqQ1EHZQxwhB4QuILd1kCEul2,0,2022-09-25,2021-05-01,user
27,Fiona,Moore,user27@example.com,$2b$12$TUxOcVxxTOTBnv3YHe2lBuJLPUjvyA7h.gkkc7TABseKPnSUZ0Ulm,0,2021-04-20,2021-03-08,user
28,Alice,Miller,user28@example.com,$2b$12$t6XQlIXYeF5NT/jHnmAQHOb0N9BXWWjeC6Xgf1N.E/fR47l9mwzia,1,2021-07-11,2021-04-05,user
29,Hannah,Scott,user29@example.com,$2b$12$FHJBvfewtO9mLQwBCZZmEuzpzES6TPaELq6vxZXJFrb5GrfPXRqOW,0,2021-01-30,2020-12-12,user
30,Steve,Scott,user30@example.com,$2b$12$K8TB0nf9Uffn93QwGQmEvuyyXBXewQD9/HKci.4KnJxh17lgGSkn.,1,2021-04-26,2020-04-20,manager
31,Rachel,Scott,user31@example.com,$2b$12$/1LINeUxqCs/Zc3esp9KUeZDvct00G6kxGwz9ppf8u/J3qGdR044i,1,2020-05-30,2020-12-02,user
32,Alice,Smith,user32@example.com,$2b$12$4DwumkBe2x3GrHLrU8WcCeI3zLqmL3CPNCskBh9ubXlRnhGGKp48a,1,2021-07-13,2021-01-15,user
33,Tina,Smith,user33@example.com,$2b$12$3U4K297leHZcssCzrcWzgeipInFg3R5ZY4/28hPrZZXFaiHzlG7IG,1,2022-05-27,2021-07-16,user
34,Ethan,Clark,user34@example.com,$2b$12$KmPLYJJQL/6kEBd0aS7U2euDjQfjyJEOCakvw3g0FSPwhQ85X0Fq6,1,2020-01-03,2022-05-02,user
35,Pamela,White,user35@example.com,$2b$12$.W5zYQDSsH5NfXDc241nXu976S0mZYvrFyA8HvWrhZQov7oFOTqDO,0,2020-06-19,2022-08-24,user
36,Alice,Jackson,user36@example.com,$2b$12$L82O1QdmdrYIz9OBWU6KbONt/7xSdUvuCol/lldqbb7nAx9Gi8TuW,1,2020-03-07,2022-10-22,user
37,Ethan,Robinson,user37@example.com,$2b$12$LnhMe2SrSrwjt9s4xRTkauXIksCgCDcD177SgUGA2V89LlP093fRi,1,2022-11-24,2022-02-06,user
38,Ethan,Miller,user38@example.com,$2b$12$wRUhSoE/8TYtfA6cJbKx.uZBpcU8egbbUpQ6IY8hSWDqFDkK7puZK,0,2021-03-19,2021-12-31,user
39,Ian,Lewis,user39@example.com,$2b$12$q5AMIngdkN2baXsNVpsb6e45vqMUNauIuyWK7thS4ima3LQkR2RVO,1,2021-04-24,2022-04-21,user
40,Diana,Harris,user40@example.com,$2b$12$pnXaYtNm/N.MJ9FwvtgfnOqHc0DMRIuWnFjK0k2oz1tBNmO5W83Xa,1,2022-05-29,2022-10-17,manager
41,Ethan,Lee,user41@example.com,$2b$12$CuF9WXJ5Wlp2DxVL5RLhTuEI1gtO..M/zilmdt4Ifc/zk1fAMBf6i,1,2020-12-25,2021-02-03,user
42,Steve,Allen,user42@example.com,$2b$12$RXhmlAkmjLl9RlcHBzmAHOBrTpb3QLJsF65ulZ55VWjYsSLDRmMLe,0,2021-06-12,2021-12-05,user
43,Diana,Walker,user43@example.com,$2b$12$TvxqDKPOcttbRP4Dj/dfzOsKdbroMiB2TmZ20BBAXpxykz/EQCJp2,0,2020-05-16,2020-04-18,user
44,Quincy,Ramirez,user44@example.com,$2b$12$Y0GcNgS8ExN.03iCFUvZe.xPn5cMaMK2G.wHwHiCdp7t4.HoqIn8i,1,2021-07-22,2021-02-15,user
45,Wendy,King,user45@example.com,$2b$12$zZ/DuUV5e6szHVLc9Y49rOK1yiFCyVJtkrsOllwLrBScnyf9ENWf6,1,2022-07-14,2020-04-03,user
46,Ethan,Ramirez,user46@example.com,$2b$12$b18d8qsJ0BmM4DC3vMm4XOkETX1Dytkp.IXA/Q4cerzzLhyaazewi,1,2020-09-27,2020-03-10,user
47,Rachel,Thompson,user47@example.com,$2b$12$5n9ymcz8Fa57gX7O7ArYvOHQEiC9Njdec46aKOM454tRJqPWm.HMK,0,2022-09-02,2022-10-21,user
48,Victor,Moore,user48@example.com,$2b$12$XgIjp80WLugZ1fFY9kSr3.LPWcQoZRgXs.UJznSaLUyYh7tfYmzIW,0,2021-08-11,2021-02-10,user
49,Nancy,Johnson,user49@example.com,$2b$12$tOjcwh8OjWqrfrS/DME9yOUJvO8GrrWIkZkuWSXItZqfasbHcsb1G,1,2021-05-01,2021-07-02,user
50,Linda,Brown,user50@example.com,$2b$12$6bfiXwx56q1Ti2ti85idYOUywm9ov2stf5y1yhKXDvdztJFdAI99e,1,2021-11-04,2021-01-04,manager
51,Kevin,Walker,user51@example.com,$2b$12$6uhcaI8jkyANc6wDXbHlnORwZXioXxJF8Qb.FiCvnED/SVL82ejXy,1,2022-01-29,2022-04-06,user
52,George,Allen,user52@example.com,$2b$12$tVyN.MvsOM12N9t5ofy2EOHP9vTs6jL.H0Dsu54SyIZquikMgHDui,1,2022-05-21,2021-01-10,user
53,Pamela,Sanchez,user53@example.com,$2b$12$NkXy6RYeE2UG/ZqGmoAafOJgaZAoOnfflbde6T1dJKYcmcuiqhvKW,1,2020-08-09,2021-11-08,user
54,Diana,Wilson,user54@example.com,$2b$12$GCzJrrNbuQhPOtpeTpwAyOxs7UXgz1Yl9OJWaAv8OlA8wdmHiSy4i,1,2020-02-24,2021-04-03,user
55,Ethan,Thompson,user55@example.com,$2b$12$zGog3klyQsMeGj1HAj6BvO9ebyhlZWAducmHDVxP4VkQ8LJcj4aoy,0,2021-02-15,2020-07-27,user
56,Hannah,Hill,user56@example.com,$2b$12$sS8VMOIeZdr7aOgbuLbY9OJqCpyNCKn2wPh0wvGxW1aeHICRbXQJ.,0,2020-09-04,2022-12-23,user
57,Nancy,Lee,user57@example.com,$2b$12$OoFT1CDs3A02I8oH0Md0H.swW/0RDdFpcb/1g.wYIgNFdz.ux5HwK,0,2021-03-26,2022-05-05,user
58,Uma,Harris,user58@example.com,$2b$12$SSSLjyFAa3H.ScjQB6DI5eua2cQqPXdOdB2QtZrna1d3nyTZxnMFe,1,2022-11-07,2021-08-07,user
59,Yara,Johnson,user59@example.com,$2b$12$82AsZ0ydG1lDOArav1NlROCk17eWtO6NIqPF.6hb0eS5/n/UAJiEm,1,2020-01-19,2020-12-20,user
60,Ian,Torres,user60@example.com,$2b$12$TOrQN3vJe.5jTubFKFds5.BDC6BsTIHCeQoWNxAXF03vRd7zFGr4W,0,2020-06-05,2020-07-09,manager
61,Steve,Torres,user61@example.com,$2b$12$BsInr7HUN7I5BjgjPq3hMePBryAnpU1q4vHqpjEYT9oWYwjSMxqZ.,1,2021-06-14,2021-04-08,user
62,Yara,King,user62@example.com,$2b$12$dnecisrtRCZ5e81nozoqO.Yb4UeL/.Can.Pm78ixkfUJTzK6jSEga,0,2021-10-16,2020-05-02,user
63,Alice,Lee,user63@example.com,$2b$12$xxwat7x0vP5KKV4VZjmbVuhjWObxhadCmad16bz2jptXfhZ12lf7e,0,2021-03-12,2021-06-19,user
64,Fiona,Lewis,user64@example.com,$2b$12$UGq.m/ElT1O4GFn3ITXrguL0FwH4jR.Hjiimxy9habr76LLaqVd/e,0,2021-12-23,2020-05-18,user
65,Oscar,Wilson,user65@example.com,$2b$12$/rddDcdzkYO5HQt/9l3jxOHmzETu.BLUHrDCOR6yuaHgWgVXS19iO,1,2021-06-20,2021-08-22,user
66,Rachel,King,user66@example.com,$2b$12$lhyCYWnkegmX00zqVGHJe.t27YnF.Dcfz93fkK.LBuKYErbViPAIS,1,2022-12-07,2021-09-21,user
67,Julia,Lewis,user67@example.com,$2b$12$.5XorupkxaieId9JJ8mzd.Vcg7rouj0R3Mmt67BOiPQQkkqg5ZPPC,0,2022-01-28,2022-12-19,user
68,Nancy,Lee,user68@example.com,$2b$12$0k9h7gZ5JZi/7HrU/D1Dx.U5XcrQqAUOvd20U7wVh0d8J8DG4pBYi,0,2021-08-30,2020-03-24,user
69,Alice,Davis,user69@example.com,$2b$12$TAhqRNATJji7/HEN3mvTKOlLWyGRoSaatiu1cZfd5LlyvUtbynz/a,1,2020-04-17,2022-05-07,user
70,Yara,King,user70@example.com,$2b$12$sEji/Z7Q8/sdyrcm3CkxcOh8SxKuIhPuptNfB8TISnlmZb9Huylju,0,2021-04-19,2022-10-26,manager
71,Fiona,Flores,user71@example.com,$2b$12$icNKCZKR7ms/r3c7Rel8jeUyWuD90JDSiDEKCJjA9JVH1.ZTjZzeS,0,2020-03-29,2022-01-06,user
72,Linda,Harris,user72@example.com,$2b$12$BytePTnKIyFirQrmvUp82.i6UmVofqUu3i9v7Qhau38.p3lbI5H3O,0,2020-02-23,2020-08-24,user
73,Mike,Thompson,user73@example.com,$2b$12$CTGxcf24ZkV5M509WpWnw.Jl8HuIeCebW9V2Dp7.CSuIViDQj7V5i,0,2022-09-29,2021-12-15,user
74,Mike,Jackson,user74@example.com,$2b$12$sbwihv5YQ6SKqcBx6aMFceeDwCba2EB3C.ftCR9J3AOIN00SrGUaO,0,2022-06-08,2021-10-07,user
75,Hannah,Smith,user75@example.com,$2b$12$ybeBtPuqT4ot7i2wiGj4I.OATIam7uSb47TnJ1pGFVaIg4TH9WS1G,1,2021-06-11,2022-10-01,user
76,Jane,Hill,user76@example.com,$2b$12$qFofeecK5eexVZwXLvOKUuL8uraVsFnu80lySBOgOhcFNYluNHZ.2,0,2020-09-26,2020-09-08,user
77,Steve,Taylor,user77@example.com,$2b$12$qGiq2JjcxEL1MtmA1Ef8iO5ySeW5q8PSPUJSeJXyoD5hombjaIJVu,0,2021-09-10,2020-08-31,user
78,Tina,King,user78@example.com,$2b$12$bFmb/vRUW977N1jhgbxwsOnFGf1GQLgHGujyr.RM45EoHXam0TmGW,0,2021-02-20,2022-08-24,user
79,Victor,Johnson,user79@example.com,$2b$12$PqmpFjwTnGZTT3orNMYrVeoxRcynGt6sMYt6TN4MQjG2paGS/OYje,1,2022-11-12,2022-11-08,user
80,Pamela,Harris,user80@example.com,$2b$12$BW.Fs9hGRNRkFiisHOKjvO50AEk4XcVbnUYQocjXHOMbIDon2XMi6,1,2021-03-08,2022-06-06,manager
81,Kevin,Davis,user81@example.com,$2b$12$uBEVYGi9Uy2JXx2tYx8xueBprzS78aR2G6kXIaGL1xwLoyEHKvqwa,1,2021-11-24,2020-08-07,user
82,Julia,Lee,user82@example.com,$2b$12$MWXEBl4WbJdAAJv3hQLpoetLFyRwAIDtqQ2JQTSCWj5LvT6B77sOa,0,2020-03-12,2022-06-09,user
83,Yara,Torres,user83@example.com,$2b$12$X9s1x2qPjxTjtU4TVGkds.2tLA00fL4q0p2OcciR4OqfFaaCAZO4O,1,2022-07-28,2022-07-31,user
84,Nancy,Johnson,user84@example.com,$2b$12$s6YVbgAEVSz/upXPT/WT0uFpV/aOF4q2X1H.Tga3G1hI1JD1SJ6S2,1,2022-06-04,2020-07-30,user
85,Yara,Smith,user85@example.com,$2b$12$/Bm6juW/DmIwhCXrOm8Fr.lH6VYTU.osDe8cBuysA4xkYlRex1/.a,1,2021-01-12,2021-01-24,user
86,Jane,Lewis,user86@example.com,$2b$12$fZECoCbcbTH.xfBrlkfmTOCQgJ1dXiFtLC5QSuusKzemb0j4AyGz2,0,2022-09-10,2022-07-01,user
87,Diana,Moore,user87@example.com,$2b$12$PGCwBulbt7saOxsxMwy8BOaNF4v7EmJQ8ofF2Ic9jVffRRh645/bm,0,2022-04-16,2020-03-01,user
88,Kevin,Scott,user88@example.com,$2b$12$XWu9FVjCdrY6LAWsHc4CQOZJQsS28nqYLGexXyN/bZtKGHsQy0d8a,1,2021-02-01,2020-08-08,user
89,Alice,White,user89@example.com,$2b$12$0/uJGDzrtL2P3gyYoZu7ZeAOUjhToWzdQ7c/.Twvq9cXW3G5kv/wK,1,2020-03-05,2020-11-12,user
90,Bob,Brown,user90@example.com,$2b$12$cHkKKuO8RjxlvypHgbQni.TskrR0fd3JwSl933UHn.dS2ucNi9d/W,0,2022-07-01,2021-01-28,manager
91,John,Robinson,user91@example.com,$2b$12$614hy4YqF/nKs8TDj6aE9eCFQjHGWwO8U2KHhqt2rCJPJzaHQ7Dfy,0,2021-12-10,2021-11-28,user
92,Diana,Clark,user92@example.com,$2b$12$dV7JHXFn.KUEWKRSA7yQ5.Is6kLr/AmT5V4XqBJcqYWDsbdhE5q46,0,2020-03-15,2021-05-10,user
93,Kevin,Wilson,user93@example.com,$2b$12$xBY1jrW7wUTLg8H/B2leuuFG57QDiOOst4vVxl02Q.SuJgOdoDrBK,1,2022-03-01,2022-09-16,user
94,Pamela,Jackson,user94@example.com,$2b$12$UEwM6m5GzV5Jk00eBbDGh.1ATO6Yg.JZu8xf1YotgCdYrWXh3V3zC,1,2021-11-27,2022-11-16,user
95,Uma,Flores,user95@example.com,$2b$12$5/i94XWRMNCXUtMTKMtigOtGDRtc3ZiBhfH5QXGDnmCOC3dyefBby,0,2021-09-04,2022-12-04,user
96,Victor,Taylor,user96@example.com,$2b$12$xpwFlNt2DcIqGly9nBgf3uzNFppydDDkGV.VBEjfgby.aP4YlunPa,1,2021-05-15,2021-08-12,user
97,John,Robinson,user97@example.com,$2b$12$6qcazqjXAEEUqT7Oog2q3erkYUqdVXET26qIZt.4KuBwsBe/UfZsK,0,2020-06-05,2021-07-17,user
98,Ian,Martin,user98@example.com,$2b$12$8N1gvl.LpPG9YZrG/4kkPeC.Mmp0CwJXW9mbVFTOqXdR/pyUgr8cK,1,2022-11-08,2020-02-06,user
99,George,Lewis,user99@example.com,$2b$12$yBNJhrbwNwTwdShqhk0C7.e4BdzbUHZkpiFqU0K2EMJ90zPq14QIC,0,2022-07-13,2020-04-06,user
100,Kevin,Robinson,user100@example.com,$2b$12$osZztZJrmZEtKHXAufaFlOp7SiERTPuLNjxwGEI/03xny0MBXtHyO,0,2021-03-16,2020-07-15,manager
